Formaldehyde oxime,CH3NO,3.77E+00,45.04
Nitromethane,CH3NO2,1.63E+00,61.04
5-Aminotetrazole,CH3N5,1.41E-01,85.07
Methane,CH4,1.52E-03,16.04
Urea,CH4N2O,5.87E+00,60.06
Thiourea,CH4N2S,1.09E+00,76.12
Nitroguanidine,CH4N4O2,1.17E-01,104.07
Methanol,CH4O,1.69E+01,32.04
Methionic acid,CH4O6S2,1.40E+01,176.17
Methionic acid (monohydrate),CH4O6S2.H2O,4.41E+00,194.18
Methylamine,CH5N,1.79E+01,31.06
Nitroaminoguanidine,CH5N5O2,2.85E-02,119.08
Methanearsonic acid,CH5O3As,1.56E+00,139.97
Methylarsine,CH5As,9.24E-04,91.97
Bromochlorodifluoromethane,CBrClF2,9.56E-05,165.37
Tribromo-fluoro-methane,CBr3F,1.48E-03,270.74
Carbon tetrabromide,CBr4,7.24E-04,331.65
Cyanogen chloride,CClN,9.76E-01,61.47
Chlorotrinitromethane,CClN3O6,1.19E-02,185.48
Dichlorodifluoromethane,CCl2F2,2.32E-03,120.91
Trichlorofluoromethane,CCl3F,8.01E-03,137.37
Chloropicrin,CCl3NO2,9.87E-03,164.38
Carbon tetrachloride,CCl4,6.49E-03,153.82
Carbon tetrafluoride,CF4,2.11E-04,88
Carbonyl sulfide,COS,2.08E-02,60.07
Carbon dioxide,CO2,6.58E-02,44.01
Carbon disulfide,CS2,3.75E-02,76.14
Halothane,C2HBrClF3,1.74E-02,197.39
Trichloroethylene,C2HCl3,7.60E-03,131.39
Chloral (monhydrate),C2HCl3O.H2O,5.24E+00,165.4
Trichloroacetic acid,C2HCl3O2,3.34E+00,163.39
Pentachloroethane,C2HCl5,2.47E-03,202.3
Acetylene,C2H2,1.86E+01,26.04
sym-Tetrabromoethane,C2H2Br4,1.88E-03,345.67
Vinylidene chloride,C2H2Cl2,2.32E-02,96.94
cis-Acetylene dichloride,C2H2Cl2,3.61E-02,96.94
trans-Acetylene dichloride,C2H2Cl2,6.50E-02,96.94
Chlorovinyldichloroarsine,C2H2Cl3As,2.41E-03,207.32
"1,1,1,2-Tetrachloroethane",C2H2Cl4,1.72E-02,167.85
"1,1,2,2-Tetrachloroethane",C2H2Cl4,1.77E-02,167.85
Oxalic acid,C2H2O4,1.09E+00,90.04
Oxalic acid dihydrate,C2H2O4.2H2O,1.34E-02,126.07
"2,2,2-Tribromoethanol",C2H3Br3O,1.21E-01,282.77
Vinyl chloride,C2H3Cl,1.76E-02,62.5
"1,1-Dichloro-1-nitroethane",C2H3Cl2NO2,3.46E-02,143.96
"1,1,1-Trichloroethane",C2H3Cl3,5.24E-03,133.41
"1,1,2-Trichloroethane",C2H3Cl3,3.80E-02,133.41
Fluoroacetic acid,C2H3FO2,6.41E-04,78.04
Acetonitrile,C2H3N,1.95E+01,41.05
Methylisocyanide,C2H3N,2.22E+00,41.05
Methyl isothiocyanate,C2H3NS,1.04E-01,73.12
Ethylene,C2H4,3.24E+00,28.05
Ethylene chlorobromide,C2H4BrCl,4.78E-02,143.42
"1,2-Dibromoethane",C2H4Br2,2.21E-02,187.87
Acetohydroxamic acid chloride,C2H4ClNO,9.62E-01,93.51
1-Chloro-1-nitroethane,C2H4ClNO2,3.64E-02,109.51
Ethylidene chloride,C2H4Cl2,5.11E-02,98.96
Ethylene dichloride,C2H4Cl2,8.07E-02,98.96
"1,1-Difluoroethane",C2H4F2,8.13E-02,66.05
Oxamide,C2H4N2O2,1.68E-02,88.07
Amitrole,C2H4N4,2.60E+00,84.08
Dicyanodiamide,C2H4N4,4.88E-01,84.08
"2-Amino-1,3,4-thiadiazole-5-sulfonamide",C2H4N4O2S2,2.63E-02,180.21
Acetic acid glacial,C2H4O2,1.00E+01,60.05
Methyl formate,C2H4O2,3.80E+00,60.05
Glycolic acid,C2H4O3,8.02E+00,76.05
Bromoethane,C2H5Br,8.19E-02,108.97
Ethyl chloride,C2H5Cl,7.87E-02,64.52
Iodoethane,C2H5I,2.53E-02,155.97
Ethylenimine,C2H5N,2.12E-01,43.07
Acetamide,C2H5NO,3.39E+01,59.07
Glycine,C2H5NO2,3.32E+00,75.07
